Longitude,Latitude,Depth,OriginTime,Mag,x,y,z
 46.9800, 38.3840,  4.1000,2012-08-13T20:22:37.600000Z,  1.5000, 20.0957, 14.8993,  4.1000
 46.7680, 38.5520,  4.1000,2012-08-13T20:29:51.900000Z,  1.8000,  1.5691, 33.5235,  4.1000
 46.8190, 38.3670, 10.0000,2012-08-13T20:44:57.200000Z,  1.6000,  6.0301, 12.9895, 10.0000
 46.6610, 38.3850,  4.3000,2012-08-13T20:57:07.500000Z,  1.5000, -7.7761, 14.9891,  4.3000
 46.6790, 38.4070,  4.3000,2012-08-13T21:01:40.200000Z,  1.8000, -6.2015, 17.4298,  4.3000
 46.7630, 38.4770, 14.8000,2012-08-13T21:10:31.500000Z,  1.6000,  1.1344, 25.1979, 14.8000
 46.7710, 38.3940, 17.5000,2012-08-13T21:18:45.800000Z,  1.2000,  1.8346, 15.9846, 17.5000
 46.8000, 38.4580, 19.2000,2012-08-13T21:25:25.100000Z,  1.8000,  4.3642, 23.0899, 19.2000
 46.8370, 38.4160, 21.0000,2012-08-13T21:29:06.200000Z,  1.3000,  7.5981, 18.4301, 21.0000
 46.6800, 38.4360, 16.6000,2012-08-13T21:33:29.800000Z,  1.7000, -6.1117, 20.6489, 16.6000
 46.6880, 38.3900, 20.0000,2012-08-13T22:37:04.500000Z,  3.3000, -5.4167, 15.5422, 20.0000
 46.7460, 38.4440, 10.0000,2012-08-13T23:22:37.000000Z,  1.5000, -0.3492, 21.5346, 10.0000
 46.8630, 38.3980, 12.1000,2012-08-13T23:43:33.600000Z,  1.5000,  9.8712, 16.4344, 12.1000
 46.6930, 38.4540,  9.4000,2012-08-14T01:32:41.700000Z,  2.2000, -4.9754, 22.6462,  9.4000
 46.7260, 38.4670, 19.3000,2012-08-14T01:39:59.300000Z,  1.4000, -2.0945, 24.0880, 19.3000
 46.6920, 38.4190, 17.7000,2012-08-14T01:49:20.100000Z,  3.0000, -5.0652, 18.7611, 17.7000
 46.6900, 38.4770,  4.3000,2012-08-14T02:00:50.700000Z,  2.0000, -5.2357, 25.1995,  4.3000
 46.8050, 38.4400, 15.0000,2012-08-14T02:37:06.900000Z,  2.3000,  4.8018, 21.0920, 15.0000
 46.8050, 38.4420, 18.2000,2012-08-14T03:46:54.400000Z,  2.1000,  4.8017, 21.3140, 18.2000
 46.6400, 38.4620,  4.3000,2012-08-14T04:08:43.300000Z,  2.3000, -9.6007, 23.5384,  4.3000
 46.6610, 38.4460, 20.0000,2012-08-14T04:52:17.700000Z,  2.1000, -7.7695, 21.7604, 20.0000
 46.8040, 38.4370, 18.1000,2012-08-14T05:28:13.200000Z,  3.4000,  4.7147, 20.7590, 18.1000
 46.6570, 38.4020, 16.5000,2012-08-14T06:58:45.500000Z,  1.8000, -8.1236, 16.8765, 16.5000
 46.6620, 38.3920, 15.5000,2012-08-14T08:11:48.900000Z,  2.1000, -7.6879, 15.7660, 15.5000
 46.7060, 38.4080, 15.8000,2012-08-14T10:28:44.200000Z,  3.6000, -3.8431, 17.5394, 15.8000
 46.8050, 38.5040, 14.4000,2012-08-14T10:50:24.700000Z,  2.1000,  4.7976, 28.1964, 14.4000
 46.6660, 38.3980,  5.2000,2012-08-14T11:17:14.100000Z,  1.7000, -7.3379, 16.4317,  5.2000
 46.6860, 38.4520,  5.3000,2012-08-14T11:44:11.800000Z,  1.8000, -5.5866, 22.4246,  5.3000
 46.6790, 38.4150, 19.9000,2012-08-14T12:42:55.300000Z,  2.2000, -6.2008, 18.3179, 19.9000
 46.6940, 38.4310, 17.5000,2012-08-14T13:31:03.400000Z,  2.2000, -4.8897, 20.0930, 17.5000
 46.7900, 38.4740, 18.6000,2012-08-14T14:02:25.700000Z,  5.2000,  3.4906, 24.8655, 18.6000
 46.6500, 38.4360, 17.0000,2012-08-14T15:48:20.200000Z,  3.8000, -8.7310, 20.6513, 17.0000
 46.8480, 38.3970, 12.9000,2012-08-14T16:07:08.700000Z,  1.9000,  8.5610, 16.3219, 12.9000
 46.7850, 38.4100, 16.3000,2012-08-14T16:30:46.100000Z,  2.0000,  3.0569, 17.7610, 16.3000
 46.7050, 38.4100, 19.0000,2012-08-14T16:36:24.800000Z,  3.3000, -3.9304, 17.7614, 19.0000
 46.6580, 38.4280,  8.1000,2012-08-14T17:05:18.200000Z,  1.7000, -8.0334, 19.7625,  8.1000
 46.7290, 38.4190, 20.0000,2012-08-14T17:09:09.900000Z,  3.1000, -1.8339, 18.7597, 20.0000
 46.7940, 38.4320,  5.1000,2012-08-14T17:16:26.100000Z,  2.0000,  3.8419, 20.2035,  5.1000
 46.6610, 38.4090, 14.6000,2012-08-14T18:53:41.200000Z,  2.0000, -7.7735, 17.6532, 14.6000
 46.6630, 38.4210, 15.4000,2012-08-14T20:20:33.200000Z,  3.0000, -7.5975, 18.9851, 15.4000
 46.8850, 38.4450, 16.8000,2012-08-14T21:29:04.300000Z,  1.3000, 11.7854, 21.6542, 16.8000
 46.7920, 38.4170, 16.3000,2012-08-14T21:32:40.200000Z,  1.5000,  3.6680, 18.5383, 16.3000
 46.6760, 38.4220,  4.3000,2012-08-14T22:10:17.600000Z,  2.0000, -6.4622, 19.0951,  4.3000
 46.7010, 38.3890, 12.0000,2012-08-14T22:41:54.500000Z,  1.7000, -4.2810, 15.4305, 12.0000
 46.7500, 38.3970,  4.4000,2012-08-14T23:07:43.000000Z,  1.3000,  0.0000, 16.3174,  4.4000
 46.7700, 38.4060, 19.9000,2012-08-14T23:33:30.800000Z,  1.7000,  1.7469, 17.3166, 19.9000
 46.7000, 38.3800, 13.4000,2012-08-14T23:42:05.500000Z,  1.7000, -4.3689, 14.4315, 13.4000
 46.7100, 38.3960, 16.9000,2012-08-15T00:42:47.100000Z,  1.0000, -3.4943, 16.2071, 16.9000
 46.6800, 38.4330, 20.0000,2012-08-15T01:35:40.000000Z,  1.6000, -6.1120, 20.3159, 20.0000
 46.6990, 38.3930, 18.1000,2012-08-15T01:43:13.000000Z,  1.6000, -4.4555, 15.8746, 18.1000
 46.6220, 38.4910, 19.9000,2012-08-15T03:03:30.600000Z,  1.8000,-11.1672, 26.7596, 19.9000
 46.8040, 38.4280, 18.7000,2012-08-15T03:41:30.500000Z,  3.4000,  4.7153, 19.7599, 18.7000
 46.8170, 38.4100, 11.5000,2012-08-15T04:29:39.900000Z,  3.1000,  5.8519, 17.7626, 11.5000
 46.7700, 38.4320, 10.0000,2012-08-15T05:26:26.800000Z,  2.4000,  1.7463, 20.2027, 10.0000
