eid,code,phase,noise,wet
19,ORD,S,0.000,0.000
19,BST,P,0.000,0.000
19,BST,S,0.000,0.000
19,MRD,P,0.000,0.000
19,MRD,S,0.000,0.000
19,SHB,P,0.000,0.000
19,SRB,P,0.000,0.000
19,SRB,S,0.000,0.000
19,GRMI,P,0.000,0.000
19,NAX,P,0.000,0.000
19,NAX,S,0.000,0.000
19,LRK,S,0.000,0.000
19,SBZ,P,0.000,0.000
19,GLBA,P,0.000,0.000
19,LKRN,P,0.000,0.000
19,MAKU,P,0.000,0.000
19,MAKU,S,0.000,0.000
19,BRDA,P,0.000,0.000
19,SAAT,P,0.000,0.000
19,SAAT,S,0.000,0.000
19,GANJ,P,0.000,0.000
19,GNI,P,0.000,0.000
19,GNI,S,0.000,0.000
19,ZNJK,P,0.000,0.000
19,ZNJK,S,0.000,0.000
20,TVRZ,P,0.000,0.000
20,TVRZ,S,0.000,0.000
20,HRS,P,0.000,0.000
20,HRS,S,0.000,0.000
20,FTB,P,0.000,0.000
20,TABZ,P,0.000,0.000
20,TABZ,S,0.000,0.000
20,TBZ,P,0.000,0.000
20,TBZ,S,0.000,0.000
20,BST,P,0.000,0.000
20,BST,S,0.000,0.000
20,ORD,S,0.000,0.000
20,MRD,P,0.000,0.000
20,MRD,S,0.000,0.000
20,SRB,P,0.000,0.000
20,SRB,S,0.000,0.000
20,GRMI,P,0.000,0.000
20,GRMI,S,0.000,0.000
20,SHB,P,0.000,0.000
20,SHB,S,0.000,0.000
20,AZR,P,0.000,0.000
20,AZR,S,0.000,0.000
20,LRK,P,0.000,0.000
20,NAX,P,0.000,0.000
20,SBZ,P,0.000,0.000
20,ASTR,S,0.000,0.000
20,LKRN,P,0.000,0.000
20,BRDA,P,0.000,0.000
20,SAAT,P,0.000,0.000
20,SAAT,S,0.000,0.000
20,GANJ,P,0.000,0.000
20,ZNJK,S,0.000,0.000
20,GNI,P,0.000,0.000
21,TVRZ,P,0.000,0.000
21,TVRZ,S,0.000,0.000
21,TAHR,P,0.000,0.000
21,HRS,P,0.000,0.000
21,HRS,S,0.000,0.000
21,FTB,P,0.000,0.000
21,TABZ,P,0.000,0.000
21,TABZ,S,0.000,0.000
21,TBZ,P,0.000,0.000
21,BST,P,0.000,0.000
21,BST,S,0.000,0.000
21,ORD,P,0.000,0.000
21,ORD,S,0.000,0.000
21,MRD,P,0.000,0.000
21,SHB,P,0.000,0.000
21,SHB,S,0.000,0.000
21,SRB,S,0.000,0.000
21,GRMI,P,0.000,0.000
21,GRMI,S,0.000,0.000
21,AZR,S,0.000,0.000
21,HSH,P,0.000,0.000
21,NAX,P,0.000,0.000
21,NAX,S,0.000,0.000
21,SBZ,P,0.000,0.000
21,GLBA,S,0.000,0.000
21,ASTR,P,0.000,0.000
21,LKRN,P,0.000,0.000
21,LKRN,S,0.000,0.000
21,BRDA,S,0.000,0.000
21,ZRD,P,0.000,0.000
21,GANJ,P,0.000,0.000
21,ZNJK,P,0.000,0.000
21,ZNJK,S,0.000,0.000
22,TAHR,S,0.000,0.000
22,HRS,P,0.000,0.000
22,HRS,S,0.000,0.000
22,TVRZ,P,0.000,0.000
22,TVRZ,S,0.000,0.000
22,FTB,P,0.000,0.000
22,FTB,S,0.000,0.000
22,TABZ,P,0.000,0.000
22,TBZ,P,0.000,0.000
22,TBZ,S,0.000,0.000
22,BST,P,0.000,0.000
