 DATE    ORIGIN    LAT N    LONG E    DEPTH    MAG NO GAP DMIN  RMS  ERH  ERZ QM
 10203 -159 59.93 33-51.06  52-37.01  21.15        25 137 40.1 0.14  0.3  0.5 B1
 10203  5 3 20.10 33-46.03  52-35.17  21.94        28 148 49.5 0.13  0.3  0.6 B1
 10203  5 4 30.20 33-31.58  52-26.79  19.93        26 183 62.3 0.31  1.0  1.4 D1
 10203  5 5 39.99 33-48.53  52-41.71  25.93        25 142 40.8 0.11  0.3  0.6 B1
 10203  5 6 49.75 33-55.56  52-44.39  25.63        27 145 27.2 0.19  0.5  0.7 C1
 10203  5 7 59.83 33-33.33  53- 0.30  37.96        25 171 67.0 0.11  0.4  1.1 C1
 10203  5 9  9.83 33-47.14  52-48.01  30.13        26 144 40.6 0.11  0.3  0.4 B1
 10203  510 19.90 33-52.18  52-37.30  21.20        27 135 38.2 0.14  0.3  0.5 B1
 10203  511 29.86 34- 2.33  52-34.11  19.15        27 115 29.9 0.20  0.4  0.5 B1
 10203  512 40.50 33-47.74  52-26.35  17.93        28 143 44.4 0.22  0.6  0.7 C1
 10203  513 50.25 33-37.61  52-18.35  13.32        25 168 48.6 0.20  0.5  0.8 C1
 10203  514 59.74 33-44.82  52-19.60   9.85        25 148 36.0 0.30  0.7  0.8 C1
 10203  516 10.36 33-47.26  52- 9.93   9.85        28 136 20.6 0.27  0.7  0.7 C1
 10203  517 20.04 33-52.62  52-31.99  18.69        29 133 42.9 0.17  0.4  0.4 C1
